z_index,parallel_phi_profile,packed_parallel_phi_profile,time,output_window,field_offset,n_field_values,packing_roundtrip_error,parallel_phi_error,selected_profile_error,ky_spectrum_error,kx_spectrum_error,status,notes
0,8.084162891139493e-07,8.084162891139493e-07,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
1,7.434020174495213e-08,7.434020174495213e-08,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
2,1.4241964746848314e-05,1.4241964746848314e-05,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
3,2.3821611064372924e-05,2.3821611064372924e-05,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
4,3.2386875635343265e-06,3.2386875635343265e-06,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
5,7.729823514293308e-06,7.729823514293308e-06,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
6,3.0600533937236833e-06,3.0600533937236833e-06,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
7,4.104109594337855e-06,4.104109594337855e-06,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
8,1.4819915436511071e-06,1.4819915436511071e-06,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
9,1.5831565550473718e-07,1.5831565550473718e-07,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
10,6.639930814853154e-06,6.639930814853154e-06,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
11,1.4513499296474525e-05,1.4513499296474525e-05,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
12,7.096807594694254e-06,7.096807594694254e-06,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
13,5.217679075106473e-06,5.217679075106473e-06,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
14,3.533055278275598e-06,3.533055278275598e-06,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
15,8.462155259987751e-06,8.462155259987751e-06,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
16,2.5704478030697827e-06,2.5704478030697827e-06,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
17,5.687506652238309e-07,5.687506652238309e-07,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
18,5.8330111850446554e-05,5.8330111850446554e-05,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
19,0.00021439744905078954,0.00021439744905078954,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
20,0.0002826516659839183,0.0002826516659839183,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
21,0.005154853549015437,0.005154853549015437,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
22,0.13720438059907447,0.13720438059907447,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
23,0.3569780649856701,0.3569780649856701,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
24,0.3569780649856702,0.3569780649856702,3.72,62,12288,48,0.0,0.0,0.0,0.0,0.0,PASS,"GKW dist.F90/get_phi and diagnostic.F90 field-output audit; steps_per_window=20, output_window=62, initial_profile=cosine, normalization_model=gkw_unweighted"
