z_index,fused_profile,separated_profile,delta_profile,parallel_diffusion_profile,velocity_diffusion_profile,is_target_z,time,target_z,local_delta,max_delta,relative_delta,max_parallel_diffusion,max_velocity_diffusion,status,notes
0,0.002782714071148278,0.0026337510280078995,0.0009739271746027446,0.0,0.0,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
1,0.003930929073967105,0.0037036882659923992,0.0010855967765252754,0.0,0.0,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
2,0.0030157668917049755,0.0029572453944649688,0.00012844979228299747,0.0023523508500430763,0.00011443019756736095,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
3,0.004404470067586313,0.004400587604494651,0.00046628552418807775,0.002103126290892674,0.00036631908346865385,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
4,0.004328577336696253,0.004676399031020212,0.0012020811887153802,0.0021575070144627556,0.0005536842422490598,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
5,0.0034028439655536505,0.003552158530419378,0.0006763295164147705,0.0023691035997540216,0.00024631791498120015,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
6,0.004279573200497001,0.004292695829991677,0.000640544936914032,0.0018859661225887714,0.0002641538575390013,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
7,0.003661506873286838,0.0036011411080301417,0.00030253146703105015,0.002185998666882277,0.0002797221379040555,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
8,0.0038418986985718395,0.0037783321246063345,0.00031469525493073563,0.0022102955395704176,0.0002932692835183937,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
9,0.004355735745642793,0.004370606894102203,0.0005973587972263135,0.0019234809245600904,0.00027076874123989683,False,3.72,0.09375,0.00035775663113790776,0.0015086176659840009,0.1257254487392138,0.007044002628973732,0.0007597330135842486,OPEN,"GKW ltrapping_arakawa fused Term I/IV audit; linear_terms.F90:igh, jhg_interior, igh_zero_two, igh_two, diffus; disp_par=1, disp_vp=0.2, initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375; passed means the separated solver fallback matches the fused GKW path"
