z_index,z,normalized_phi_power,streaming_delta_profile,field_drive_delta_profile,field_residual_profile,is_target_z,time,target_z,peak_z,second_moment,local_streaming_delta,max_streaming_delta,boundary_streaming_delta,local_field_drive_delta,max_field_drive_delta,boundary_field_drive_delta,field_residual_max,field_reconstruction_error,rhs_assembly_error,status,notes
0,-4.40625,8.084162891139495e-07,0.001937324280884201,1.7133137658305798e-06,2.42434975903054e-19,False,3.72,0.09375,0.09375,0.032992775141809566,0.005228399497117055,0.007044002628973733,0.0019373242808842016,2.7611004325485534e-19,2.1023285024078316e-06,1.7133137658305798e-06,4.742874840267547e-16,3.7238012298709097e-16,0.0,PASS,"central profile operator audit; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
1,-4.21875,7.434020174495214e-08,0.0015058919330370158,2.1023285024078316e-06,1.6263032587282567e-19,False,3.72,0.09375,0.09375,0.032992775141809566,0.005228399497117055,0.007044002628973733,0.0019373242808842016,2.7611004325485534e-19,2.1023285024078316e-06,1.7133137658305798e-06,4.742874840267547e-16,3.7238012298709097e-16,0.0,PASS,"central profile operator audit; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
2,-4.03125,1.4241964746848318e-05,0.0023523508500430763,2.6023024937438976e-24,3.127317220692751e-18,False,3.72,0.09375,0.09375,0.032992775141809566,0.005228399497117055,0.007044002628973733,0.0019373242808842016,2.7611004325485534e-19,2.1023285024078316e-06,1.7133137658305798e-06,4.742874840267547e-16,3.7238012298709097e-16,0.0,PASS,"central profile operator audit; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
3,-3.84375,2.382161106437293e-05,0.002103126290892674,5.328524261182569e-22,9.69739903612216e-18,False,3.72,0.09375,0.09375,0.032992775141809566,0.005228399497117055,0.007044002628973733,0.0019373242808842016,2.7611004325485534e-19,2.1023285024078316e-06,1.7133137658305798e-06,4.742874840267547e-16,3.7238012298709097e-16,0.0,PASS,"central profile operator audit; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
4,-3.65625,3.2386875635343273e-06,0.002157507014462755,5.949971862812169e-22,4.6317137111987765e-19,False,3.72,0.09375,0.09375,0.032992775141809566,0.005228399497117055,0.007044002628973733,0.0019373242808842016,2.7611004325485534e-19,2.1023285024078316e-06,1.7133137658305798e-06,4.742874840267547e-16,3.7238012298709097e-16,0.0,PASS,"central profile operator audit; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
5,-3.46875,7.72982351429331e-06,0.0023691035997540216,9.041981013189745e-23,1.939479807224432e-18,False,3.72,0.09375,0.09375,0.032992775141809566,0.005228399497117055,0.007044002628973733,0.0019373242808842016,2.7611004325485534e-19,2.1023285024078316e-06,1.7133137658305798e-06,4.742874840267547e-16,3.7238012298709097e-16,0.0,PASS,"central profile operator audit; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
6,-3.28125,3.060053393723684e-06,0.0018859661225887714,1.3349701212360008e-21,8.673617379884035e-19,False,3.72,0.09375,0.09375,0.032992775141809566,0.005228399497117055,0.007044002628973733,0.0019373242808842016,2.7611004325485534e-19,2.1023285024078316e-06,1.7133137658305798e-06,4.742874840267547e-16,3.7238012298709097e-16,0.0,PASS,"central profile operator audit; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
7,-3.09375,4.104109594337856e-06,0.002185998666882277,3.7332224874915943e-22,1.8526854844795106e-18,False,3.72,0.09375,0.09375,0.032992775141809566,0.005228399497117055,0.007044002628973733,0.0019373242808842016,2.7611004325485534e-19,2.1023285024078316e-06,1.7133137658305798e-06,4.742874840267547e-16,3.7238012298709097e-16,0.0,PASS,"central profile operator audit; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
8,-2.90625,1.4819915436511075e-06,0.0022102955395704184,7.257863095968218e-22,1.1677214766175423e-18,False,3.72,0.09375,0.09375,0.032992775141809566,0.005228399497117055,0.007044002628973733,0.0019373242808842016,2.7611004325485534e-19,2.1023285024078316e-06,1.7133137658305798e-06,4.742874840267547e-16,3.7238012298709097e-16,0.0,PASS,"central profile operator audit; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
9,-2.71875,1.583156555047372e-07,0.0019234809245600906,6.472439804809118e-22,1.3080821703607507e-18,False,3.72,0.09375,0.09375,0.032992775141809566,0.005228399497117055,0.007044002628973733,0.0019373242808842016,2.7611004325485534e-19,2.1023285024078316e-06,1.7133137658305798e-06,4.742874840267547e-16,3.7238012298709097e-16,0.0,PASS,"central profile operator audit; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
