z_index,term_error_profile,coefficient_error_profile,current_term_profile,reference_term_profile,recurrence_speed_error_profile,is_target_z,time,target_z,local_term_error,max_term_error,local_coefficient_error,max_coefficient_error,recurrence_speed_max_error,sign_selection_error,status,notes
0,3.26852902855256e-19,4.440892098500626e-16,0.0021860020793304925,0.0021860020793304925,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
1,5.441558063749082e-19,2.220446049250313e-16,0.003210918856094828,0.0032109188560948284,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
2,4.538747722127955e-19,2.220446049250313e-16,0.002905301098021675,0.002905301098021675,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
3,6.411011657512859e-19,2.220446049250313e-16,0.0038335882728303336,0.003833588272830334,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
4,6.360931934510597e-19,2.220446049250313e-16,0.0038230968878018422,0.0038230968878018422,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
5,5.133203547780305e-19,2.220446049250313e-16,0.00304499050813145,0.00304499050813145,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
6,6.966041713991877e-19,2.220446049250313e-16,0.00414690923273204,0.00414690923273204,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
7,4.744279193332254e-19,2.220446049250313e-16,0.003245503377857132,0.0032455033778571326,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
8,5.521519584331006e-19,2.220446049250313e-16,0.0032266363473193393,0.003226636347319339,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
9,6.695759619152201e-19,2.220446049250313e-16,0.004136973771013007,0.004136973771013007,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
10,4.817222295877429e-19,2.220446049250313e-16,0.003068191489203011,0.003068191489203011,5.551115123125783e-17,False,3.72,0.09375,5.009367606696157e-18,5.137226805897254e-18,2.220446049250313e-16,4.440892098500626e-16,5.551115123125783e-17,0.0,PASS,"GKW Fortran Term I source reconstruction; linear_terms.F90:vpar_grad_df_4d_testnewbc; initial_profile=cosine, normalization_model=gkw_unweighted, target_z=0.09375"
