variant,unit_phase_real,unit_phase_imag,unit_phase_angle,phase_aligned_max_abs_error,phase_aligned_l2_error,phase_aligned_relative_l2_error,complex_scale_real,complex_scale_imag,complex_scale_abs,scaled_max_abs_error,scaled_l2_error,scaled_relative_l2_error,is_best_phase,is_best_scaled
direct_mu_rows_vpar_columns:identity,9.9945733256678304e-01,3.2939951100303864e-02,3.2945910873565173e-02,3.3230903073356986e-02,8.4239931221813443e-03,3.7707795531385896e-01,8.8465335776893483e-01,2.9156260498675354e-02,8.8513369099708183e-01,2.6714920028536725e-02,7.9768531308298130e-03,3.5706290648458922e-01,False,False
direct_mu_rows_vpar_columns:conjugate,4.6589414555979752e-01,8.8484046309665698e-01,1.0861514679633832e+00,1.1257184540647801e-01,2.4663990867228175e-02,1.1040188555716492e+00,1.8716786875018523e-01,3.5547496194169642e-01,4.0173904423137302e-01,7.8733899987187092e-02,2.0233139560512602e-02,9.0568341930013774e-01,False,False
reverse_vpar_columns:identity,9.9972524449910172e-01,2.3440040768124844e-02,2.3442187764133721e-02,1.8885582880959564e-02,5.5082472362544023e-03,2.4656223896253462e-01,9.2142446445734294e-01,2.1604162874219714e-02,9.2167770047560382e-01,1.7952545317588844e-02,5.1895328759885458e-03,2.3229582663822185e-01,True,True
reverse_vpar_columns:conjugate,5.1050428507533629e-01,8.5987520892262026e-01,1.0350251754538931e+00,1.1630960809401693e-01,2.4727253637481215e-02,1.1068506475387738e+00,2.0365453253789623e-01,3.4302843058059657e-01,3.9892815494749956e-01,8.0587226915282278e-02,2.0264027971528625e-02,9.0706605799652362e-01,False,False
reverse_mu_rows:identity,9.9996307113110394e-01,-8.5939731236878408e-03,-8.5940789138194539e-03,1.1101545290827247e-01,2.9560936307288576e-02,1.3232177731205459e+00,1.6285852060304667e-01,-1.3996534366444073e-03,1.6286453500610773e-01,9.8735433440983872e-02,2.2007757005636525e-02,9.8511951426911792e-01,False,False
reverse_mu_rows:conjugate,-9.7241471979861449e-01,2.3325868197986124e-01,2.9061651866251395e+00,9.4610187945048357e-02,3.1280228139968259e-02,1.4001773621719193e+00,-6.6867001466937387e-02,1.6039770185043517e-02,6.8763872147868596e-02,9.5640390691109398e-02,2.2281291807459361e-02,9.9736358216928600e-01,False,False
reverse_mu_rows_vpar_columns:identity,9.9993182860853136e-01,-1.1676392233843562e-02,-1.1676657573047632e-02,1.1061322701291874e-01,2.9481960046878745e-02,1.3196826079842805e+00,1.6704793209412819e-01,-1.9506501555188749e-03,1.6705932076048224e-01,9.8729121346874019e-02,2.1990274056225296e-02,9.8433693589788407e-01,False,False
reverse_mu_rows_vpar_columns:conjugate,-9.8206187681349066e-01,1.8855893007111621e-01,2.9518981065490699e+00,9.3030299116711748e-02,3.1432910481656827e-02,1.4070117866997434e+00,-5.9071129170152524e-02,1.1341840241836433e-02,6.0150109239370336e-02,9.5739699960981917e-02,2.2295137417570547e-02,9.9798334458778215e-01,False,False
roll_vpar_minus_1:identity,9.9892723606282952e-01,4.6307418972299112e-02,4.6323985057482205e-02,2.7732149022661381e-02,9.7940971622727437e-03,4.3840706877723062e-01,8.6175381356940350e-01,3.9948450152604474e-02,8.6267926477399781e-01,2.7388304042080619e-02,9.2435645197096669e-03,4.1376391912358212e-01,False,False
roll_vpar_minus_1:conjugate,5.1411891271607257e-01,8.5771891875348261e-01,1.0308162389579500e+00,1.1640317642108465e-01,2.4758956993440200e-02,1.1082697651078663e+00,2.0437090708868930e-01,3.4095768336300486e-01,3.9751680405804324e-01,8.0560902612983154e-02,2.0279437677033347e-02,9.0775583304256546e-01,False,False
roll_vpar_plus_1:identity,9.9990058554525774e-01,1.4100320076174185e-02,1.4100787353299900e-02,6.1596914872248443e-02,1.2479695425161440e-02,5.5862083047867583e-01,8.0878664723798899e-01,1.1405284449526156e-02,8.0886706031574918e-01,4.9932332578958773e-02,1.1637789627769127e-02,5.2093512584393942e-01,False,False
roll_vpar_plus_1:conjugate,3.9318504256046788e-01,9.1945936414108209e-01,1.1667032506423445e+00,1.0754586158086941e-01,2.5072732841506237e-02,1.1223151178876625e+00,1.5076711971035148e-01,3.5256743013295877e-01,3.8345080150693939e-01,7.5223168723664358e-02,2.0429419710693980e-02,9.1446938536464062e-01,False,False
roll_mu_minus_1:identity,9.0686725160268666e-01,-4.2141640685975851e-01,-4.3500662223038650e-01,8.4467840031663258e-02,2.3708747280448066e-02,1.0612598820889585e+00,4.0202074825337830e-01,-1.8681691164015596e-01,4.4330716269982823e-01,7.1196065335714251e-02,1.9744773876454097e-02,8.8382301047509471e-01,False,False
roll_mu_minus_1:conjugate,7.3587586430261065e-01,6.7711646881233478e-01,7.4383703247306421e-01,8.2958665911784982e-02,2.8305731190383408e-02,1.2670318085646377e+00,1.6793127321280715e-01,1.5452202774550489e-01,2.2820598059967023e-01,8.2824377026464432e-02,2.1682683308894706e-02,9.7056844292850153e-01,False,False
roll_mu_plus_1:identity,8.4988697437856953e-01,5.2696501855591937e-01,5.5502555419863653e-01,8.4428574132101558e-02,2.1299071210362126e-02,9.5339705358258209e-01,4.5967985159248509e-01,2.8502048957902504e-01,5.4087174583255526e-01,7.6137119382915799e-02,1.8343579155912025e-02,8.2110220425466385e-01,False,False
roll_mu_plus_1:conjugate,6.5508298715561109e-01,7.5555693361869247e-01,8.5650387580675624e-01,9.3474031162835702e-02,2.8194118698840132e-02,1.2620357681491008e+00,1.5321008030594868e-01,1.7670881513510953e-01,2.3387888757604769e-01,8.7857554660234566e-02,2.1649059594299639e-02,9.6906336554231753e-01,False,False
fortran_flatten_c_reshape:identity,3.3954850645606632e-01,-9.4058854541369719e-01,-1.2243594826217350e+00,9.7424539616635886e-02,3.0571855235689022e-02,1.3684689072300440e+00,3.6731983947166390e-02,-1.0175183425669064e-01,1.0817890006510480e-01,9.6462261750654713e-02,2.2194135469164582e-02,9.9346225730349258e-01,False,False
fortran_flatten_c_reshape:conjugate,1.8092321777897297e-01,-9.8349722382348514e-01,-1.3888712473616882e+00,9.5700624565122433e-02,3.0261514177162198e-02,1.3545773037942459e+00,2.2644780473369881e-02,-1.2309685292497549e-01,1.2516237966226179e-01,9.6206774304626028e-02,2.2144457849536992e-02,9.9123856896919105e-01,False,False
c_flatten_fortran_reshape:identity,1.8162572357509763e-01,9.8336773210016504e-01,1.3881569067414683e+00,9.8650740135927187e-02,3.0807984364546046e-02,1.3790386082979376e+00,1.7279980821151772e-02,9.3558198785671273e-02,9.5140602779247491e-02,9.6220309610792698e-02,2.2227304419322608e-02,9.9494697835253554e-01,False,False
c_flatten_fortran_reshape:conjugate,3.0867363968092837e-01,-9.5116801048296840e-01,-1.2569980647617147e+00,9.6232530531108085e-02,3.0530569910862504e-02,1.3666208779588589e+00,3.4092460499936798e-02,-1.0505483351190625e-01,1.1044824085133313e-01,9.6328578445954258e-02,2.2187922190959674e-02,9.9318413620257029e-01,False,False
