variant,max_abs_error,l2_error,is_best
direct_mu_rows_vpar_columns:identity,0.035348895748192916,0.00845562568878207,False
direct_mu_rows_vpar_columns:negative,0.18808672173817859,0.045147377061108405,False
direct_mu_rows_vpar_columns:conjugate,0.12258796494616711,0.02910039523366645,False
direct_mu_rows_vpar_columns:negative_conjugate,0.18380879631540167,0.03553801146000004,False
direct_mu_rows_vpar_columns:i_times,0.13152071422953773,0.03197625824589502,False
direct_mu_rows_vpar_columns:minus_i_times,0.14614595142749406,0.03297426526669732,False
reverse_vpar_columns:identity,0.018543579974657488,0.005533740922357686,True
reverse_vpar_columns:negative,0.1912767788543429,0.04559781763079143,False
reverse_vpar_columns:conjugate,0.12317489852488873,0.028783783254649493,False
reverse_vpar_columns:negative_conjugate,0.18831417854083304,0.035794930965655586,False
reverse_vpar_columns:i_times,0.1266018617942968,0.03210725957028661,False
reverse_vpar_columns:minus_i_times,0.14421422516496815,0.032846721969976386,False
reverse_mu_rows:identity,0.1110088149063496,0.029561049390452846,False
reverse_mu_rows:negative,0.09065238013859192,0.0351557622619948,False
reverse_mu_rows:conjugate,0.10909188893073185,0.03360389856429196,False
reverse_mu_rows:negative_conjugate,0.09587309631215031,0.03131391483937239,False
reverse_mu_rows:i_times,0.09651345795792429,0.03250303841995299,False
reverse_mu_rows:minus_i_times,0.10429030262422367,0.03245513448990391,False
reverse_mu_rows_vpar_columns:identity,0.11059902756436381,0.02948217475050248,False
reverse_mu_rows_vpar_columns:negative,0.08975902153563409,0.03522193397965994,False
reverse_mu_rows_vpar_columns:conjugate,0.1084980086970991,0.03347470671131416,False
reverse_mu_rows_vpar_columns:negative_conjugate,0.09408333764823268,0.031451983592107324,False
reverse_mu_rows_vpar_columns:i_times,0.09593076036941005,0.03251245919333099,False
reverse_mu_rows_vpar_columns:minus_i_times,0.10167171613111235,0.032445697072010615,False
roll_vpar_minus_1:identity,0.02588015161807022,0.009846475752836634,False
roll_vpar_minus_1:negative,0.19112607518622243,0.04486457596518094,False
roll_vpar_minus_1:conjugate,0.12317489852488873,0.028769946918399177,False
roll_vpar_minus_1:negative_conjugate,0.18831417854083304,0.03580605277881359,False
roll_vpar_minus_1:i_times,0.1266018617942968,0.0317881161835498,False
roll_vpar_minus_1:minus_i_times,0.14369646918460888,0.03315567720297431,False
roll_vpar_plus_1:identity,0.06228686850568482,0.012483276264496187,False
roll_vpar_plus_1:negative,0.18430343693413925,0.044203518807793524,False
roll_vpar_plus_1:conjugate,0.12169348004712575,0.029787524650372148,False
roll_vpar_plus_1:negative_conjugate,0.17911275301290738,0.03496407637118648,False
roll_vpar_plus_1:i_times,0.13853257690923254,0.03228332920108479,False
roll_vpar_plus_1:minus_i_times,0.14792164318045412,0.03267368845081741,False
roll_mu_minus_1:identity,0.08475718365168912,0.02465764179835541,False
roll_mu_minus_1:negative,0.15725999200307636,0.03875285747181345,False
roll_mu_minus_1:conjugate,0.08817979967549408,0.02946551701055135,False
roll_mu_minus_1:negative_conjugate,0.14876929055795515,0.035235870481479525,False
roll_mu_minus_1:i_times,0.1252292304441419,0.03553252213550956,False
roll_mu_minus_1:minus_i_times,0.11289438710810698,0.029107097621992723,False
roll_mu_plus_1:identity,0.08331863219970721,0.023321761715547982,False
roll_mu_plus_1:negative,0.15051271144526918,0.03957118511960302,False
roll_mu_plus_1:conjugate,0.09155098390896987,0.029741906343172923,False
roll_mu_plus_1:negative_conjugate,0.14568540589825418,0.035002889428740344,False
roll_mu_plus_1:i_times,0.10217572061195031,0.027167233067080545,False
roll_mu_plus_1:minus_i_times,0.1314799694607257,0.0370368020861091,False
fortran_flatten_c_reshape:identity,0.11744536861592783,0.03184430565862582,False
fortran_flatten_c_reshape:negative,0.10466597870973873,0.033101713828844304,False
fortran_flatten_c_reshape:conjugate,0.09570913663904067,0.03208924042236227,False
fortran_flatten_c_reshape:negative_conjugate,0.12446912067299025,0.03286432580173405,False
fortran_flatten_c_reshape:i_times,0.1427828990761792,0.034176022374997846,False
fortran_flatten_c_reshape:minus_i_times,0.09787722979151625,0.030688479204912352,False
c_flatten_fortran_reshape:identity,0.1209613439930268,0.032182028263461365,False
c_flatten_fortran_reshape:negative,0.10092282460517005,0.03277346972989685,False
c_flatten_fortran_reshape:conjugate,0.10816694905952842,0.03189034237795367,False
c_flatten_fortran_reshape:negative_conjugate,0.1278675081565169,0.03305736414633785,False
c_flatten_fortran_reshape:i_times,0.09941395918982657,0.030836519336155745,False
c_flatten_fortran_reshape:minus_i_times,0.12924656179707936,0.034042507788316405,False
even_part_error,0.01647851294172267,0.005197749203708426,False
odd_same_sign_error,0.02430342389518037,0.006669408444842744,False
odd_opposite_sign_error,0.00606276656656781,0.0018988659276327384,False
