case,axis,ky,growth_rate,frequency,growth_delta_from_baseline,frequency_delta_from_baseline,kperp2_average,quasilinear_contribution,wall_seconds,estimated_cfl_dt,late_window_growth_delta,n_z,field_line_periods,n_vpar,n_mu,n_kx,kx_max,dt,steps_per_window,n_windows,growth_diagnostic
baseline,reference,0.0,-0.1818276819573139,0.03527107966813568,0.0,0.0,0.0,0.0,20.286100500030443,0.041744421570905736,0.15756361452338533,33,1,4,4,3,0.3,0.002,1,6,late_fit
baseline,reference,0.1,-0.18176071518367642,0.03053194205813468,0.0,0.0,0.017053659493654824,0.0,20.286100500030443,0.041744421570905736,0.15756361452338533,33,1,4,4,3,0.3,0.002,1,6,late_fit
baseline,reference,0.2,-0.18106533750030795,0.02089400897333108,0.0,0.0,0.06646226796577746,0.0,20.286100500030443,0.041744421570905736,0.15756361452338533,33,1,4,4,3,0.3,0.002,1,6,late_fit
baseline,reference,0.3,-0.18023889682916572,0.009369120707514729,0.0,0.0,0.1435409293467103,0.0,20.286100500030443,0.041744421570905736,0.15756361452338533,33,1,4,4,3,0.3,0.002,1,6,late_fit
nz_17,parallel_resolution,0.0,-1.6202303638235713,-0.006156972099250247,-1.4384026818662574,-0.041428051767385926,0.0,0.0,13.648879957851022,0.08616395877657601,0.026943610717200528,17,1,4,4,3,0.3,0.002,1,6,late_fit
nz_17,parallel_resolution,0.1,-1.6257898656571124,-0.01157758986583748,-1.444029150473436,-0.04210953192397216,0.018343287530919235,0.0,13.648879957851022,0.08616395877657601,0.026943610717200528,17,1,4,4,3,0.3,0.002,1,6,late_fit
nz_17,parallel_resolution,0.2,-1.6292938894383322,-0.01395560777473759,-1.4482285519380242,-0.03484961674806867,0.07248111851995377,0.0,13.648879957851022,0.08616395877657601,0.026943610717200528,17,1,4,4,3,0.3,0.002,1,6,late_fit
nz_17,parallel_resolution,0.3,-1.6318082653647539,-0.010398161454928993,-1.4515693685355882,-0.019767282162443722,0.15762812932500098,0.0,13.648879957851022,0.08616395877657601,0.026943610717200528,17,1,4,4,3,0.3,0.002,1,6,late_fit
nz_49,parallel_resolution,0.0,38.88819620786958,0.17754218675829447,39.0700238898269,0.14227110709015878,0.0,0.0,12.336223082849756,0.0263902808852181,3.438914430311229,49,1,4,4,3,0.3,0.002,1,6,late_fit
nz_49,parallel_resolution,0.1,38.635156174655,0.5104933553471676,38.81691688983868,0.47996141328903286,0.01748620731093736,2209.464607472647,12.336223082849756,0.0263902808852181,3.438914430311229,49,1,4,4,3,0.3,0.002,1,6,late_fit
nz_49,parallel_resolution,0.2,34.208524164687894,1.3092116326229508,34.3895895021882,1.2883176236496197,0.07183241254149951,476.22685851527655,12.336223082849756,0.0263902808852181,3.438914430311229,49,1,4,4,3,0.3,0.002,1,6,late_fit
nz_49,parallel_resolution,0.3,23.16176975262687,1.768170755912461,23.342008649456037,1.7588016352049463,0.17819454537890078,129.98023987348927,12.336223082849756,0.0263902808852181,3.438914430311229,49,1,4,4,3,0.3,0.002,1,6,late_fit
velocity_3x3,velocity_resolution,0.0,0.40766230073572274,0.07058263562968524,0.5894899826930367,0.03531155596154956,0.0,0.0,11.045677666086704,0.04386145493832466,0.13560378794926403,33,1,3,3,3,0.3,0.002,1,6,late_fit
velocity_3x3,velocity_resolution,0.1,0.40778119466673424,0.06515658035931171,0.5895419098504107,0.03462463830117703,0.01710640192636344,23.83792900448846,11.045677666086704,0.04386145493832466,0.13560378794926403,33,1,3,3,3,0.3,0.002,1,6,late_fit
velocity_3x3,velocity_resolution,0.2,0.40737945983826407,0.050603304806349475,0.588444797338572,0.029709295833018394,0.06665489027190893,6.111771516993081,11.045677666086704,0.04386145493832466,0.13560378794926403,33,1,3,3,3,0.3,0.002,1,6,late_fit
velocity_3x3,velocity_resolution,0.3,0.4065957580203783,0.030322369771746707,0.586834654849544,0.020953249064231978,0.143884690222443,2.8258444827518696,11.045677666086704,0.04386145493832466,0.13560378794926403,33,1,3,3,3,0.3,0.002,1,6,late_fit
velocity_5x5,velocity_resolution,0.0,0.2654045787401582,-0.017808007982171185,0.44723226069747213,-0.05307908765030687,0.0,0.0,10.328037249855697,0.03910217341979894,0.1697247833125637,33,1,5,5,3,0.3,0.002,1,6,late_fit
velocity_5x5,velocity_resolution,0.1,0.2654733235527562,-0.02107939706768659,0.44723403873643264,-0.05161133912582127,0.017073248167721527,15.549081283730635,10.328037249855697,0.03910217341979894,0.1697247833125637,33,1,5,5,3,0.3,0.002,1,6,late_fit
velocity_5x5,velocity_resolution,0.2,0.2657550757651172,-0.023226416624137203,0.44682041326542515,-0.04412042559746829,0.06660545120789148,3.9899898723250486,10.328037249855697,0.03910217341979894,0.1697247833125637,33,1,5,5,3,0.3,0.002,1,6,late_fit
velocity_5x5,velocity_resolution,0.3,0.26618781422891313,-0.02216286440224913,0.44642671105807885,-0.03153198510976386,0.14394265145492535,1.8492629636631275,10.328037249855697,0.03910217341979894,0.1697247833125637,33,1,5,5,3,0.3,0.002,1,6,late_fit
kx5,kx_grid,0.0,0.16710589999651138,-0.023494236567340718,0.3489335819538253,-0.0587653162354764,0.0,0.0,11.157360000070184,0.041741869547969115,0.4919408338949586,33,1,4,4,5,0.45,0.002,1,6,late_fit
kx5,kx_grid,0.1,0.16896010280165186,-0.018615173941606337,0.3507208179853283,-0.04914711599974102,0.017619821887101882,9.589206058646107,11.157360000070184,0.041741869547969115,0.4919408338949586,33,1,4,4,5,0.45,0.002,1,6,late_fit
kx5,kx_grid,0.2,0.17128176568537154,-0.02104769352040552,0.3523471031856795,-0.041941702493736605,0.06811186781792919,2.514712504151443,11.157360000070184,0.041741869547969115,0.4919408338949586,33,1,4,4,5,0.45,0.002,1,6,late_fit
kx5,kx_grid,0.3,0.17522644309160285,-0.020459843171507338,0.35546533992076856,-0.029828963879022067,0.14641006750824764,1.1968196318230306,11.157360000070184,0.041741869547969115,0.4919408338949586,33,1,4,4,5,0.45,0.002,1,6,late_fit
dt_half,time_step,0.0,-0.1818276820015008,0.035271079685085076,-4.418687638008123e-11,1.694939327778755e-11,0.0,0.0,2.5761570420581847,0.041744421570905736,0.15756361462034482,33,1,4,4,3,0.3,0.001,2,6,late_fit
dt_half,time_step,0.1,-0.18176071522861825,0.03053194206535439,-4.4941828036826337e-11,7.219710940198354e-12,0.01705365949365444,0.0,2.5761570420581847,0.041744421570905736,0.15756361462034482,33,1,4,4,3,0.3,0.001,2,6,late_fit
dt_half,time_step,0.2,-0.18106533754553844,0.020894008973549448,-4.523048602322888e-11,2.1836699115596048e-13,0.06646226796577509,0.0,2.5761570420581847,0.041744421570905736,0.15756361462034482,33,1,4,4,3,0.3,0.001,2,6,late_fit
dt_half,time_step,0.3,-0.18023889687408534,0.009369120706865661,-4.4919623576333834e-11,-6.490676052184341e-13,0.14354092934669682,0.0,2.5761570420581847,0.041744421570905736,0.15756361462034482,33,1,4,4,3,0.3,0.001,2,6,late_fit
two_periods,field_line_length,0.0,-0.29793195719838295,0.057528815076898096,-0.11610427524106903,0.022257735408762414,0.0,0.0,18.055373874958605,0.035895157166947946,0.11199927436803905,65,2,4,4,3,0.3,0.002,1,6,late_fit
two_periods,field_line_length,0.1,-0.2968655411379917,0.06067409491322622,-0.11510482595431526,0.03014215285509154,0.01724013970094831,0.0,18.055373874958605,0.035895157166947946,0.11199927436803905,65,2,4,4,3,0.3,0.002,1,6,late_fit
two_periods,field_line_length,0.2,-0.29454220863927016,0.06742079443093277,-0.11347687113896221,0.04652678545760169,0.06741446024152396,0.0,18.055373874958605,0.035895157166947946,0.11199927436803905,65,2,4,4,3,0.3,0.002,1,6,late_fit
two_periods,field_line_length,0.3,-0.2908063480292489,0.07815734263621248,-0.11056745120008316,0.06878822192869774,0.1464437778755341,0.0,18.055373874958605,0.035895157166947946,0.11199927436803905,65,2,4,4,3,0.3,0.002,1,6,late_fit
late_mean_window,growth_window,0.0,-0.18183075298217055,0.03527107966813568,-3.071024856637905e-06,0.0,0.0,0.0,2.2810358330607414,0.041744421570905736,0.15756361452338533,33,1,4,4,3,0.3,0.002,1,6,late_mean_window
late_mean_window,growth_window,0.1,-0.18176377274533215,0.03053194205813468,-3.057561655722685e-06,0.0,0.017053659493654824,0.0,2.2810358330607414,0.041744421570905736,0.15756361452338533,33,1,4,4,3,0.3,0.002,1,6,late_mean_window
late_mean_window,growth_window,0.2,-0.18106836228352444,0.02089400897333108,-3.02478321648203e-06,0.0,0.06646226796577746,0.0,2.2810358330607414,0.041744421570905736,0.15756361452338533,33,1,4,4,3,0.3,0.002,1,6,late_mean_window
late_mean_window,growth_window,0.3,-0.18024187743711137,0.009369120707514729,-2.980607945651803e-06,0.0,0.1435409293467103,0.0,2.2810358330607414,0.041744421570905736,0.15756361452338533,33,1,4,4,3,0.3,0.002,1,6,late_mean_window
