sample_index,time,ky_index,ky,log_amplitude,raw_amplitude,window_growth
0,0.0,0,0.1,-5.424189390856534,0.004408638396364129,
0,0.0,1,0.2,-5.474439671058523,0.004192577114235351,
0,0.0,2,0.3,-5.514137129565598,0.004029402691305122,
1,0.001,0,0.1,-5.423531889738847,0.004411538034190315,0.6575011176872536
1,0.001,1,0.2,-5.473803450376215,0.004195245367216461,0.6362206823080641
1,0.001,2,0.3,-5.513584950155845,0.004031628258904616,0.5521794097527177
2,0.002,0,0.1,-5.422874473647933,1.0006576322362355,0.6574160909140758
2,0.002,1,0.2,-5.47316725093097,1.0006364018630352,0.6361994452444009
2,0.002,2,0.3,-5.513032641606877,1.000552461099419,0.5523085489684831
3,0.003,0,0.1,-5.422217143332575,1.0006575464042744,0.6573303153576404
3,0.003,1,0.2,-5.472531073602176,1.0006363797325106,0.6361773287943961
3,0.003,2,0.3,-5.5124802049254775,1.0005525893026457,0.5524366813993709
4,0.004,0,0.1,-5.421559899538348,1.0006574598262559,0.657243794226936
4,0.004,1,0.2,-5.471894919265903,1.0006363567253571,0.6361543362727318
4,0.004,2,0.3,-5.5119276411158005,1.0005527165011816,0.5525638096770535
5,0.005,0,0.1,-5.42090274300763,1.0006573725053778,0.6571565307176286
5,0.005,1,0.2,-5.471258788794918,1.0006363328448828,0.6361304709852078
5,0.005,2,0.3,-5.511374951179366,1.0005528426976593,0.552689936434092
6,0.006,0,0.1,-5.420245674479613,1.0006572844448307,0.6570685280173905
6,0.006,1,0.2,-5.470622683058688,1.0006363080943879,0.6361057362296307
6,0.006,2,0.3,-5.510822136115067,1.0005529678947078,0.5528150642994945
