case,target_total_time,actual_total_time,stella_tend,solver_to_stella_total_time_ratio,time_window_passed,first_failed_check,ky,growth_rate,reference_growth,growth_error,growth_delta_from_first_case,frequency,reference_frequency,frequency_error,frequency_delta_from_first_case,phi_phase_aligned_error,kperp2_average,quasilinear_contribution,raw_final_amplitude,max_growth_error,max_frequency_error,max_profile_error,late_window_growth_delta,estimated_cfl_dt,finite_growth,finite_frequency,dt,steps_per_window,n_windows,wall_seconds
smoke_0p006,0.006,0.006,200.0,3e-05,False,growth_window_time_normalization,0.1,0.6571563089603494,-0.0007797962033046558,0.6579361051636541,0.0,-0.011745974034791402,-0.06573003284376668,0.05398405880897528,0.0,0.11070205745377523,0.03579618229081449,18.358279204277636,1.0006572844448307,0.6579361051636541,0.10776992937516834,0.11070205745377523,0.0003813900966894712,0.16699681907807115,True,True,0.001,1,6,2.921971125062555
smoke_0p006,0.006,0.006,200.0,3e-05,False,growth_window_time_normalization,0.2,0.6361302101447919,-0.004876056537197182,0.641006266681989,0.0,-0.010414663463440693,-0.11818459283860903,0.10776992937516834,0.0,0.10997261742605682,0.14289300410034372,4.451793942925509,1.0006363080943879,0.6579361051636541,0.10776992937516834,0.11070205745377523,0.0003813900966894712,0.16699681907807115,True,True,0.001,1,6,2.921971125062555
smoke_0p006,0.006,0.006,200.0,3e-05,False,growth_window_time_normalization,0.3,0.5526896367666011,0.009619443823361787,0.5430701929432393,0.0,-0.009517324054839557,-0.0028493457942134434,-0.006667978260626114,0.0,0.10904248064100534,0.36085328728448696,1.531618683382934,1.0005529678947078,0.6579361051636541,0.10776992937516834,0.11070205745377523,0.0003813900966894712,0.16699681907807115,True,True,0.001,1,6,2.921971125062555
time_1,1.0,1.0,200.0,0.005,False,growth_window_time_normalization,0.1,0.5166360885094138,-0.0007797962033046558,0.5174158847127185,-0.1405202204509356,-0.010176340929250067,-0.06573003284376668,0.05555369191451661,0.0015696331055413352,0.13127916941876674,0.036496346638478776,14.155830270160767,1.0489647350713387,0.5231970699301207,0.10153805275888242,0.14363109322991582,0.1008047476051851,0.16699681907807115,True,True,0.02,5,10,0.40880341711454093
time_1,1.0,1.0,200.0,0.005,False,growth_window_time_normalization,0.2,0.5183210133929236,-0.004876056537197182,0.5231970699301207,-0.1178091967518683,-0.016646540079726612,-0.11818459283860903,0.10153805275888242,-0.006231876616285919,0.13748051721782537,0.13367856966684952,3.87736803797941,1.0493852655277036,0.5231970699301207,0.10153805275888242,0.14363109322991582,0.1008047476051851,0.16699681907807115,True,True,0.02,5,10,0.40880341711454093
time_1,1.0,1.0,200.0,0.005,False,growth_window_time_normalization,0.3,0.5024913011741452,0.009619443823361787,0.4928718573507834,-0.0501983355924559,-0.02278369432844971,-0.0028493457942134434,-0.019934348534236264,-0.013266370273610151,0.14363109322991582,0.28494482294537093,1.763468786617395,1.0486004097817423,0.5231970699301207,0.10153805275888242,0.14363109322991582,0.1008047476051851,0.16699681907807115,True,True,0.02,5,10,0.40880341711454093
time_5,5.0,5.0,200.0,0.025,False,growth_window_time_normalization,0.1,0.2131055968316198,-0.0007797962033046558,0.21388539303492446,-0.4440507121287296,-0.01697183155907473,-0.06573003284376668,0.048758201284691945,-0.005225857524283329,0.14296071576066038,0.03802235100402751,5.604745398395852,1.0151525715363416,0.21802139976454218,0.08439102411699528,0.14296071576066038,0.23784514859503184,0.16699681907807115,True,True,0.02,5,50,1.0117627081926912
time_5,5.0,5.0,200.0,0.025,False,growth_window_time_normalization,0.2,0.213145343227345,-0.004876056537197182,0.21802139976454218,-0.42298486691744686,-0.03379356872161376,-0.11818459283860903,0.08439102411699528,-0.023378905258173065,0.14076190235772396,0.13715200005296085,1.5540811883420251,1.0139727080259324,0.21802139976454218,0.08439102411699528,0.14296071576066038,0.23784514859503184,0.16699681907807115,True,True,0.02,5,50,1.0117627081926912
time_5,5.0,5.0,200.0,0.025,False,growth_window_time_normalization,0.3,0.21050665966678278,0.009619443823361787,0.200887215843421,-0.3421829770998183,-0.0511576126543482,-0.0028493457942134434,-0.04830826686013476,-0.04164028859950864,0.13594177011867786,0.2719580946569525,0.7740407945258682,1.0122603961785264,0.21802139976454218,0.08439102411699528,0.14296071576066038,0.23784514859503184,0.16699681907807115,True,True,0.02,5,50,1.0117627081926912
time_20,20.0,20.0,200.0,0.1,False,growth_window_time_normalization,0.1,-0.1238540171183172,-0.0007797962033046558,-0.12307422091501255,-0.7810103260786666,-0.04133970882616402,-0.06573003284376668,0.024390324017602653,-0.02959373479137262,0.12113916686820932,0.049393198814334495,0.0,0.9730838970434371,0.12307422091501255,0.08876838380576851,0.1672007808562221,0.33579005655553573,0.16699681907807115,True,True,0.02,5,200,3.6384540828876197
