sample_index,time,ky_index,ky,log_amplitude,raw_amplitude,window_growth
0,0.0,0,0.1,-4.277186219382321,0.013881667150867846,
0,0.0,1,0.2,-4.348808231024266,0.012922203688789899,
0,0.0,2,0.3,-4.443909239165249,0.011749915391218582,
1,0.1,0,0.1,-4.2963074225013695,0.01361875458638686,-0.19121203119048857
1,0.1,1,0.2,-4.367933872001963,0.01267740667230477,-0.19125640977696534
1,0.1,2,0.3,-4.463024014905469,0.011527451342270956,-0.19114775740219692
2,0.2,0,0.1,-4.31588235530693,0.9806154121715469,-0.1957493280556033
2,0.2,1,0.2,-4.387508891749608,0.9806153269148024,-0.19575019747644973
2,0.2,2,0.3,-4.4825767208114575,0.9806372084540621,-0.19552705905988788
3,0.3,0,0.1,-4.335918636437202,0.9801631112361162,-0.2003628113027212
3,0.3,1,0.2,-4.4075360327653605,0.9801720700801436,-0.20027141015752653
3,0.3,2,0.3,-4.502562201297007,0.9802129054188781,-0.19985480485549273
4,0.4,0,0.1,-4.356423163545366,0.9797042612373191,-0.20504527108164078
4,0.4,1,0.2,-4.428015610834895,0.9797287042216913,-0.2047957806953437
4,0.4,2,0.3,-4.52297044033856,0.9797985996082405,-0.20408239041553417
5,0.5,0,0.1,-4.377402018460404,0.9792396704565751,-0.2097885491503782
5,0.5,1,0.2,-4.448945299270269,0.9792878174075165,-0.20929688435374244
5,0.5,2,0.3,-4.54378619003529,0.9793994025830192,-0.20815749696729396
6,0.6,0,0.1,-4.398860408308759,0.9787702033984242,-0.21458389848355358
6,0.6,1,0.2,-4.470320009251284,0.9788521101861282,-0.213747099810151
6,0.6,2,0.3,-4.5649887941288405,0.979020590895093,-0.21202604093550909
7,0.7000000000000001,0,0.1,-4.420802640887707,0.9782967470990208,-0.2194223257894732
7,0.7000000000000001,1,0.2,-4.492131856627793,0.9784243108344673,-0.21811847376508967
7,0.7000000000000001,2,0.3,-4.586552194253191,0.9786674278655682,-0.21563400124350077
8,0.8,0,0.1,-4.443232129635679,0.9778201820879092,-0.22429488747972576
8,0.8,1,0.2,-4.514370197332502,0.9780071083671067,-0.22238340704708653
8,0.8,2,0.3,-4.608445091296398,0.9783450130837559,-0.21892897043207077
9,0.9,0,0.1,-4.46615142160553,0.9773413598862061,-0.2291929196985088
9,0.9,1,0.2,-4.537021709212638,0.9776031074870724,-0.2265151188013626
9,0.9,2,0.3,-4.630631225442922,0.9780581680849284,-0.221861341465246
10,1.0,0,0.1,-4.489562241184985,0.9768610876670115,-0.23410819579455128
10,1.0,1,0.2,-4.560070498276282,0.9772148052148654,-0.23048789063643943
10,1.0,2,0.3,-4.653069737536451,0.9778113589183217,-0.22438512093528656
11,1.1,0,0.1,-4.513465542942247,0.9763801194350048,-0.23903301757261608
11,1.1,1,0.2,-4.583498211845004,0.9768445847256817,-0.23427713568722178
11,1.1,2,0.3,-4.675715581146649,0.9776086488210824,-0.2264584361019837
12,1.2,0,0.1,-4.537861568643847,0.9758991520731819,-0.243960257016003
12,1.2,1,0.2,-4.607284148800468,0.9764947188190372,-0.23785936955463635
