sample_index,time,ky_index,ky,log_amplitude,raw_amplitude,window_growth
0,0.0,0,0.1,-3.987061296180907,0.018554159260244077,
0,0.0,1,0.2,-4.0752691192536545,0.01698764236011412,
0,0.0,2,0.3,-4.197897765530439,0.015027134197841869,
1,0.1,0,0.1,-4.009484573849063,0.018142744072021502,-0.22423277668155883
1,0.1,1,0.2,-4.097723477318425,0.01661044645021945,-0.22454358064770474
1,0.1,2,0.3,-4.220361150743989,0.014693337036958886,-0.2246338521355007
2,0.2,0,0.1,-4.032825633992031,0.9769292353229566,-0.23341060142968217
2,0.2,1,0.2,-4.1210066676723525,0.9769857716475686,-0.23283190353927452
2,0.2,2,0.3,-4.243519251594388,0.977107989956653,-0.2315810085039871
3,0.3,0,0.1,-4.05709988657244,0.9760179975948452,-0.24274252580409167
3,0.3,1,0.2,-4.145120440416956,0.9761746413715903,-0.2411377274460325
3,0.3,2,0.3,-4.2673530359762495,0.9764479971776149,-0.23833784381861461
4,0.4,0,0.1,-4.082324563086913,0.97509080741152,-0.25224676514472566
4,0.4,1,0.2,-4.17005895081653,0.9753698852889612,-0.24938510399574723
4,0.4,2,0.3,-4.291821960867778,0.9758280124085869,-0.244689248915284
5,0.5,0,0.1,-4.108516797627538,0.974147806752077,-0.2619223454062514
5,0.5,1,0.2,-4.19580565746614,0.9745819134661002,-0.2574670664960977
5,0.5,2,0.3,-4.316858837506556,0.9752739465401571,-0.2503687663877852
6,0.6,0,0.1,-4.1356913507159225,0.9731913531412173,-0.2717455308838446
6,0.6,1,0.2,-4.222330296473703,0.973824049481818,-0.2652463900756264
6,0.6,2,0.3,-4.34236553706842,0.9748158481047843,-0.25506699561863583
7,0.7000000000000001,0,0.1,-4.163858282694056,0.9722260576353351,-0.2816693197813344
7,0.7000000000000001,1,0.2,-4.249586012543208,0.9731123692351238,-0.27255716069505254
7,0.7000000000000001,2,0.3,-4.368209629378608,0.9744870077839711,-0.25844092310188116
8,0.8,0,0.1,-4.19302090498365,0.9712585033413512,-0.29162622289594436
8,0.8,1,0.2,-4.277506701809263,0.9724654906946336,-0.2792068926605485
8,0.8,2,0.3,-4.394222006647431,0.9743230300760536,-0.26012377268823
9,0.9,0,0.1,-4.223174272752646,0.9702967098947638,-0.3015336776899514
9,0.9,1,0.2,-4.306004604082341,0.9719043329338829,-0.2849790227307825
9,0.9,2,0.3,-4.420195586848112,0.9743608316863352,-0.2597358020068086
10,1.0,0,0.1,-4.2543043401352465,0.9693494841259482,-0.3113006738260094
10,1.0,1,0.2,-4.334968184333379,0.9714518438546292,-0.2896358025103752
10,1.0,2,0.3,-4.445885323423471,0.9746374370516506,-0.25689736575358785
11,1.1,0,0.1,-4.28638770922312,0.9684258419345136,-0.3208336908787321
11,1.1,1,0.2,-4.364260374081382,0.9711326679978745,-0.29292189748002934
11,1.1,2,0.3,-4.471009947669084,0.9751883723398602,-0.25124624245613325
12,1.2,0,0.1,-4.319391712358623,0.9675346864088259,-0.3300400313550349
12,1.2,1,0.2,-4.393717307410133,0.9709726933025302,-0.29456933328751805
12,1.2,2,0.3,-4.4952560803076125,0.9760454435500996,-0.24246132638528406
13,1.3,0,0.1,-4.353274425306304,0.9666848776086027,-0.3388271294768061
13,1.3,1,0.2,-4.423147779357492,0.9709983869212336,-0.2943047194735812
13,1.3,2,0.3,-4.518285476717828,0.9772337561866615,-0.23029396410215933
14,1.4000000000000001,0,0.1,-4.3879841611870605,0.9658857375448905,-0.3470973588075662
14,1.4000000000000001,1,0.2,-4.452333759698417,0.9712358169003308,-0.2918598034092576
14,1.4000000000000001,2,0.3,-4.5397461007353535,0.9787680166626548,-0.21460624017525
15,1.5,0,0.1,-4.423458066377727,0.9651479192523306,-0.35473905190667004
15,1.5,1,0.2,-4.481032382072507,0.9717092717750052,-0.2869862237408953
15,1.5,2,0.3,-4.559287349914694,0.9806484434108587,-0.1954124917934055
16,1.6,0,0.1,-4.459619625326214,0.9644844598001423,-0.3616155894848646
16,1.6,1,0.2,-4.5089798550284454,0.9724394448293122,-0.27947472955938557
16,1.6,2,0.3,-4.576579038593738,0.9828569545722182,-0.1729168867904372
17,1.7,0,0.1,-4.496375144745753,0.963911764252172,-0.36755519419538857
17,1.7,1,0.2,-4.5358976629656205,0.9734412473805293,-0.26917807937175053
17,1.7,2,0.3,-4.591332763428608,0.9853545780853493,-0.1475372483487016
18,1.8,0,0.1,-4.533609566338643,0.9634502553309857,-0.3723442159289011
18,1.8,1,0.2,-4.561501208108978,0.9747214460684089,-0.25603545143357365
18,1.8,2,0.3,-4.603323262277181,0.9880811007254927,-0.1199049884857305
19,1.9000000000000001,0,0.1,-4.571182177052466,0.9631244820256711,-0.3757261071382342
19,1.9000000000000001,1,0.2,-4.5855106873861695,0.9762764553189106,-0.24009479277191637
19,1.9000000000000001,2,0.3,-4.6124066832291835,0.9909577086892702,-0.09083420952002533
20,2.0,0,0.1,-4.608922881084152,0.9629626008419271,-0.37740704031685773
20,2.0,1,0.2,-4.607663545887133,0.9780907141433599,-0.22152858500963854
20,2.0,2,0.3,-4.618532655021825,0.9938927537157364,-0.06125971792641857
21,2.1,0,0.1,-4.646629630796057,0.9629952981371169,-0.37706749711904985
21,2.1,1,0.2,-4.627727399116899,0.9801360864538603,-0.20063853229765433
21,2.1,2,0.3,-4.621747864981672,0.9967899532925668,-0.03215209959846807
22,2.2,0,0.1,-4.684067390582171,0.9632543690130662,-0.3743775978611371
22,2.2,1,0.2,-4.64551200150343,0.9823726102865845,-0.1778460238653155
22,2.2,2,0.3,-4.622190369242733,0.9995575936295101,-0.004425042610609604
23,2.3000000000000003,0,0.1,-4.720968685616444,0.9637712596635092,-0.3690129503427283
23,2.3000000000000003,1,0.2,-4.660878782741938,0.9847506852804899,-0.15366781238507862
23,2.3000000000000003,2,0.3,-4.620075647009591,1.0021169598352282,0.021147222331423503
24,2.4,0,0.1,-4.7570354687559,0.9645758739269725,-0.36066783139456454
24,2.4,1,0.2,-4.673746738656407,0.9872144822478401,-0.12867955914468476
24,2.4,2,0.3,-4.615676906879922,1.004408428787787,0.04398740129668804
25,2.5,0,0.1,-4.7919418492365216,0.9656958200042576,-0.34906380480621524
25,2.5,1,0.2,-4.684094009363501,0.9897060781349257,-0.10347270707094393
25,2.5,2,0.3,-4.609302923506589,1.006394340434227,0.06373983373332942
26,2.6,0,0.1,-4.825337275036775,0.9671560455127819,-0.33395425800253314
26,2.6,1,0.2,-4.691955163327387,0.9921696640988821,-0.07861153963886196
26,2.6,2,0.3,-4.601276591186482,1.0080586296773102,0.08026332320106626
27,2.7,0,0.1,-4.856850087960308,0.9689785409262497,-0.3151281292353311
27,2.7,1,0.2,-4.697414838322154,0.9945552019440271,-0.05459674994766845
27,2.7,2,0.3,-4.591916602019837,1.0094039308561553,0.09359989166645369
