case,ky,z_index,z,theta,phi,B,F,G,E_y,D_x,D_y,g_xx,g_xy,g_yy,kperp2,bessel_j0_rms_over_mu,gamma0_mean_over_species,magnetic_drift_frequency_rms_over_velocity,maxwellian_mean_over_velocity,drive_factor_mean_over_velocity,field_denominator_real,field_denominator_imag,ion_polarization_real,electron_response
gkw_fd_16x8,0.3,0,-0.5,-3.141592653589793,-21.84,0.9486,0.0019607888988921506,-0.0,0.1677,0.0783,0.39449999999999996,2.016,4.8,11.87,1.0682999999999998,0.7808885376831272,0.6020708786316924,0.25964425894746374,0.04092621600967848,3.31905859375,-1.3979291213683076,0.0,-0.3979291213683076,1.0
gkw_fd_16x8,0.3,1,-0.49609375,-3.117048960983623,-21.66,0.9912,0.0019607888988921506,-0.03361774269737378,0.03407,0.007423,0.12226000000000001,2.395,5.909,14.99,1.3491,0.7490112297410154,0.5643769067514803,0.0812408701576421,0.040129952429451055,3.4463593749999992,-1.4356230932485197,0.0,-0.43562309324851967,1.0
gkw_fd_16x8,0.3,2,-0.4921875,-3.0925052683774528,-21.5,1.059,0.0019607888988921506,-0.03342962679652779,-0.1075,-0.05581,-0.16752,3.087,7.918,20.67,1.8603,0.7042927634002772,0.5146362207736914,0.1130207138341309,0.038941891213014314,3.6489648437499995,-1.4853637792263086,0.0,-0.4853637792263086,1.0
gkw_fd_16x8,0.3,3,-0.48828125,-3.067961575771282,-21.34,1.119,0.0019607888988921506,-0.013900828399706132,-0.2044,-0.09158,-0.36629999999999996,3.401,9.086,24.64,2.2176,0.6833304699493001,0.497418293667231,0.25046651371502693,0.037964473562743975,3.8282617187499994,-1.5025817063327689,0.0,-0.502581706332769,1.0
gkw_fd_16x8,0.3,4,-0.484375,-3.043417883165112,-21.18,1.105,0.0019607888988921506,0.022092449297539028,-0.3301,-0.1326,-0.6167,2.594,7.297,21.0,1.89,0.7089824729674834,0.532882868272189,0.42036857472473266,0.03818669994062695,3.7864257812499997,-1.4671171317278109,0.0,-0.467117131727811,1.0
gkw_fd_16x8,0.3,5,-0.48046875,-3.018874190558942,-21.02,1.045,0.0019607888988921506,0.03209411077786468,-0.1419,-0.05127,-0.23506,1.467,4.459,14.3,1.287,0.766063386723729,0.6039425427110516,0.1580916461881052,0.03917965546793285,3.6071289062500003,-1.3960574572889484,0.0,-0.39605745728894837,1.0
gkw_fd_16x8,0.3,6,-0.4765625,-2.9943304979527716,-20.85,0.9871,0.0019607888988921506,0.017767819570178627,-0.02229,-0.005787,0.009990000000000002,0.5834,1.746,6.898,0.6208199999999999,0.8632182718001922,0.7457516091234472,0.0066321718783717235,0.04020485057793792,3.434107421875,-1.254248390876553,0.0,-0.2542483908765528,1.0
gkw_fd_16x8,0.3,7,-0.47265625,-2.9697868053466014,-20.68,0.9836,0.0019607888988921506,-0.00941907643761431,-0.02538,-0.001988,0.004210000000000002,0.5183,0.6196,2.607,0.23463,0.9435270054591073,0.8890630727442934,0.0027927428695834087,0.0402690751504828,3.4236484375,-1.1109369272557066,0.0,-0.11093692725570659,1.0
gkw_fd_16x8,0.3,8,-0.46875,-2.945243112740431,-20.51,1.015,0.0019607888988921506,-0.025460045412250366,0.02092,0.02195,0.09340999999999999,1.296,1.214,1.932,0.17387999999999998,0.9588572093487374,0.9207103987182511,0.06240269471174292,0.03970222249434664,3.5174804687499988,-1.079289601281749,0.0,-0.07928960128174889,1.0
gkw_fd_16x8,0.3,9,-0.46484375,-2.9206994201342606,-20.35,1.085,0.0019607888988921506,-0.03201433160268134,0.1723,0.1189,0.38970000000000005,2.488,2.918,3.896,0.35063999999999995,0.9248702526821292,0.866416627097457,0.2644520281997881,0.03851024408001651,3.7266601562500004,-1.1335833729025429,0.0,-0.13358337290254296,1.0
gkw_fd_16x8,0.3,10,-0.4609375,-2.8961557275280905,-20.19,1.115,0.0019607888988921506,0.004938481823481313,0.1831,0.1077,0.40900000000000003,3.481,4.62,6.489,0.5840099999999999,0.8834260453320321,0.801610466003958,0.2794142946330226,0.03802761498440054,3.8163085937500005,-1.198389533996042,0.0,-0.19838953399604198,1.0
gkw_fd_16x8,0.3,11,-0.45703125,-2.8716120349219203,-20.03,1.082,0.0019607888988921506,0.02309340985536753,0.1279,0.06367,0.30110000000000003,3.58,5.124,7.66,0.6894,0.8616815323359261,0.761186582181217,0.20419075937255826,0.038559404734578855,3.7176953125,-1.238813417818783,0.0,-0.23881341781878296,1.0
gkw_fd_16x8,0.3,12,-0.453125,-2.84706834231575,-19.87,1.015,0.0019607888988921506,0.03876162794017614,0.03362,0.008377,0.11882999999999999,2.866,4.372,7.029,0.63261,0.8642822635327521,0.7530704810857585,0.07938456495660433,0.03970222249434664,3.5174804687499988,-1.2469295189142415,0.0,-0.24692951891424153,1.0
gkw_fd_16x8,0.3,13,-0.44921875,-2.82252464970958,-19.7,0.957,0.0019607888988921506,0.011472528369240764,-0.09515,-0.05904,-0.13224,2.24,3.58,6.132,0.5518799999999999,0.8731322738167827,0.7567463640302045,0.08719972748472553,0.04076599063814092,3.34416015625,-1.2432536359697957,0.0,-0.24325363596979555,1.0
gkw_fd_16x8,0.3,14,-0.4453125,-2.7979809571034093,-19.52,0.9754,0.0019607888988921506,-0.02470573876365427,-0.2397,-0.08649,-0.4235,2.198,3.88,7.285,0.65565,0.8552012490082654,0.7297124809871443,0.2804155820069706,0.04042058887013703,3.3991445312499997,-1.2702875190128557,0.0,-0.27028751901285575,1.0
gkw_fd_16x8,0.3,15,-0.44140625,-2.773437264497239,-19.34,1.034,0.0019607888988921506,-0.0339590109926283,-0.08143,0.03145,-0.11308,1.746,3.83,9.015,0.81135,0.8351385531627326,0.7090984565254548,0.07586575200767223,0.039369165346097475,3.5742578124999995,-1.2909015434745452,0.0,-0.2909015434745452,1.0
gkw_fd_16x8,0.3,16,-0.4375,-2.748893571891069,-19.18,1.128,0.0019607888988921506,-0.05126329703025396,0.02632,0.08509,0.09441999999999999,1.024,3.036,10.25,0.9225,0.8294396730936163,0.7189802831518899,0.0646916356010665,0.037823421958130286,3.8551562499999994,-1.2810197168481101,0.0,-0.2810197168481101,1.0
gkw_fd_16x8,0.3,17,-0.43359375,-2.724349879284899,-19.01,1.22,0.0019607888988921506,-0.016654813043020456,-0.01524,0.07518,0.005260000000000001,0.4469,1.641,9.354,0.8418599999999999,0.851939632321164,0.7688101985310211,0.003678301811387817,0.036458003001789877,4.130078125,-1.2311898014689788,0.0,-0.23118980146897894,1.0
gkw_fd_16x8,0.3,18,-0.4296875,-2.6998061866787286,-18.85,1.194,0.0019607888988921506,0.032612111852861066,0.04684,0.07405,0.13095,0.2999,0.6122,6.007,0.5406299999999999,0.8976515412056885,0.8347339496749735,0.09104666176277938,0.03683031099756506,4.052382812499999,-1.1652660503250265,0.0,-0.1652660503250265,1.0
gkw_fd_16x8,0.3,19,-0.42578125,-2.675262494072558,-18.68,1.098,0.0019607888988921506,0.048481004932930886,0.06958,0.08111,0.18328,0.4229,0.5086,3.464,0.31176,0.9334320039062993,0.8823899773288496,0.12473625612881827,0.038299117884110764,3.7655078125,-1.1176100226711503,0.0,-0.1176100226711504,1.0
