case,parallel_derivative_model,rhs_call,quantity,target_n_z,target_n_vpar,target_n_mu,reference_weighted_l2,candidate_weighted_l2,raw_relative_l2_error,aligned_relative_l2_error,alignment_scale_real,alignment_scale_imag,alignment_scale_source,best_fit_relative_l2_error,best_fit_scale_real,best_fit_scale_imag
replay_periodic_16x4,matrix,1,parallel_streaming,256,16,4,3.4787749198462475e-11,4.121919796837613e-11,0.602787804817365,0.602787804817365,1.0,0.0,provided,0.507777804662954,0.7267368944067626,-0.021997165890992064
replay_periodic_16x4,matrix,1,mirror_force,256,16,4,1.3487608761760897e-11,1.4730806920014043e-11,2.056022002515255,2.056022002515255,1.0,0.0,provided,0.36357256604305965,-0.8527461084638074,0.018506549342991792
replay_periodic_16x4,matrix,1,magnetic_drift,256,16,4,1.9112113531786652e-11,3.9689338337979426e-11,1.105607326033854,1.105607326033854,1.0,0.0,provided,0.1728906783189505,0.47421832382153745,-0.008315065954639586
replay_periodic_16x4,matrix,1,equilibrium_drive,256,16,4,2.913118740043332e-11,1.3123302007373855e-12,1.0154705781228193,1.0154705781228193,1.0,0.0,provided,0.9462114864838137,-7.182156274039469,7.473413839399304e-17
replay_periodic_16x4,matrix,1,total_rhs,256,16,4,3.559265217288097e-11,4.55382690250195e-11,1.4351355173353313,1.4351355173353313,1.0,0.0,provided,0.9703465965405281,0.17634275208932051,0.06779661225038885
replay_periodic_16x4,matrix,1,quasineutrality_numerator,256,1,1,7.235140732296765e-11,6.118489457592516e-10,7.5732194366797705,7.5732194366797705,1.0,0.0,provided,0.36040567900887643,0.10599874147934282,0.030514397288901162
replay_periodic_16x4,matrix,1,quasineutrality_denominator,256,1,1,1.1467662312631455,1.1469042894953794,2.0001203407158026,0.0004564133779792549,-1.0,0.0,provided,0.00044022298839741685,-0.9998795284375348,0.0
replay_periodic_16x4,matrix,2,parallel_streaming,256,16,4,3.48395585698175e-11,4.129398913873029e-11,0.603546078384835,0.603546078384835,1.0,0.0,provided,0.5082543254338534,0.7262641640849126,-0.02197727285036897
replay_periodic_16x4,matrix,2,mirror_force,256,16,4,1.3506953956221639e-11,1.4751759202636133e-11,2.056015957918803,2.056015957918803,1.0,0.0,provided,0.36353932670806227,-0.8527679726735791,0.018515580171480146
replay_periodic_16x4,matrix,2,magnetic_drift,256,16,4,1.9139336715721453e-11,3.974554257685769e-11,1.1055775298482367,1.1055775298482367,1.0,0.0,provided,0.17284945272669192,0.47422553589533295,-0.008326445564572023
replay_periodic_16x4,matrix,2,equilibrium_drive,256,16,4,2.9183815610320734e-11,1.3147128199749668e-12,1.0154499198485036,1.0154499198485036,1.0,0.0,provided,0.9463717133829129,-7.171682061268578,-3.198732564660397e-18
replay_periodic_16x4,matrix,2,total_rhs,256,16,4,3.565639703138304e-11,4.561932163016299e-11,1.4351795080461067,1.4351795080461067,1.0,0.0,provided,0.9703536029582399,0.17629702576644168,0.06786006271353531
replay_periodic_16x4,matrix,2,quasineutrality_numerator,256,1,1,7.248632756026587e-11,6.131169609590315e-10,7.574390008783717,7.574390008783717,1.0,0.0,provided,0.3594713897182866,0.10603808882601529,0.030449046914556317
replay_periodic_16x4,matrix,2,quasineutrality_denominator,256,1,1,1.1467662312631455,1.1469042894953794,2.0001203407158026,0.0004564133779792549,-1.0,0.0,provided,0.00044022298839741685,-0.9998795284375348,0.0
replay_periodic_16x4,matrix,3,parallel_streaming,256,16,4,3.4891449277902815e-11,4.136894040302461e-11,0.6043049936408749,0.6043049936408749,1.0,0.0,provided,0.5087307891787005,0.7257910548938723,-0.021957268774985956
replay_periodic_16x4,matrix,3,mirror_force,256,16,4,1.3526334581324271e-11,1.4772744916893854e-11,2.0560096381534883,2.0560096381534883,1.0,0.0,provided,0.36350575270995655,-0.8527902349728154,0.018524407753493666
replay_periodic_16x4,matrix,3,magnetic_drift,256,16,4,1.9166594693667195e-11,3.9801824505358635e-11,1.1055479945716862,1.1055479945716862,1.0,0.0,provided,0.17280798845347406,0.47423268936692325,-0.008337929298735733
replay_periodic_16x4,matrix,3,equilibrium_drive,256,16,4,2.92367964834747e-11,1.3171027651252114e-12,1.0154294053652149,1.0154294053652149,1.0,0.0,provided,0.9465297514316467,-7.161380471617292,9.97955007432798e-17
replay_periodic_16x4,matrix,3,total_rhs,256,16,4,3.572044443613334e-11,4.570053927790678e-11,1.4352214429607166,1.4352214429607166,1.0,0.0,provided,0.9703613718105896,0.17624997857114746,0.06792272453410225
replay_periodic_16x4,matrix,3,quasineutrality_numerator,256,1,1,7.26219953040283e-11,6.143908817753842e-10,7.575546719491691,7.575546719491691,1.0,0.0,provided,0.3585213719945557,0.10607774240347974,0.030385132281992508
replay_periodic_16x4,matrix,3,quasineutrality_denominator,256,1,1,1.1467662312631455,1.1469042894953794,2.0001203407158026,0.0004564133779792549,-1.0,0.0,provided,0.00044022298839741685,-0.9998795284375348,0.0
replay_open_16x4,gkw_upwind,1,parallel_streaming,256,16,4,3.4787749198462475e-11,3.5399875129042774e-11,0.18751678340532166,0.18751678340532166,1.0,0.0,provided,0.18010068053788766,0.9658792415745001,-0.038322229992464846
replay_open_16x4,gkw_upwind,1,mirror_force,256,16,4,1.3487608761760897e-11,1.4730806920014043e-11,2.056022002515255,2.056022002515255,1.0,0.0,provided,0.36357256604305965,-0.8527461084638074,0.018506549342991792
replay_open_16x4,gkw_upwind,1,magnetic_drift,256,16,4,1.9112113531786652e-11,3.9689338337979426e-11,1.105607326033854,1.105607326033854,1.0,0.0,provided,0.1728906783189505,0.47421832382153745,-0.008315065954639586
replay_open_16x4,gkw_upwind,1,equilibrium_drive,256,16,4,2.913118740043332e-11,1.3123302007373855e-12,1.0154705781228193,1.0154705781228193,1.0,0.0,provided,0.9462114864838137,-7.182156274039469,7.473413839399304e-17
replay_open_16x4,gkw_upwind,1,total_rhs,256,16,4,3.559265217288097e-11,4.075943071949551e-11,1.323635532540206,1.323635532540206,1.0,0.0,provided,0.9640936723105734,0.2132795348376552,0.09104381295591771
replay_open_16x4,gkw_upwind,1,quasineutrality_numerator,256,1,1,7.235140732296765e-11,6.118489457592516e-10,7.5732194366797705,7.5732194366797705,1.0,0.0,provided,0.36040567900887643,0.10599874147934282,0.030514397288901162
replay_open_16x4,gkw_upwind,1,quasineutrality_denominator,256,1,1,1.1467662312631455,1.1469042894953794,2.0001203407158026,0.0004564133779792549,-1.0,0.0,provided,0.00044022298839741685,-0.9998795284375348,0.0
replay_open_16x4,gkw_upwind,2,parallel_streaming,256,16,4,3.48395585698175e-11,3.545291122738083e-11,0.18753449927946902,0.18753449927946902,1.0,0.0,provided,0.18011366727636977,0.9658677523703167,-0.03833616103997632
replay_open_16x4,gkw_upwind,2,mirror_force,256,16,4,1.3506953956221639e-11,1.4751759202636133e-11,2.056015957918803,2.056015957918803,1.0,0.0,provided,0.36353932670806227,-0.8527679726735791,0.018515580171480146
replay_open_16x4,gkw_upwind,2,magnetic_drift,256,16,4,1.9139336715721453e-11,3.974554257685769e-11,1.1055775298482367,1.1055775298482367,1.0,0.0,provided,0.17284945272669192,0.47422553589533295,-0.008326445564572023
replay_open_16x4,gkw_upwind,2,equilibrium_drive,256,16,4,2.9183815610320734e-11,1.3147128199749668e-12,1.0154499198485036,1.0154499198485036,1.0,0.0,provided,0.9463717133829129,-7.171682061268578,-3.198732564660397e-18
replay_open_16x4,gkw_upwind,2,total_rhs,256,16,4,3.565639703138304e-11,4.082154172323656e-11,1.3234444204253335,1.3234444204253335,1.0,0.0,provided,0.9640827705897949,0.2133195586891421,0.09119555041613399
replay_open_16x4,gkw_upwind,2,quasineutrality_numerator,256,1,1,7.248632756026587e-11,6.131169609590315e-10,7.574390008783717,7.574390008783717,1.0,0.0,provided,0.3594713897182866,0.10603808882601529,0.030449046914556317
replay_open_16x4,gkw_upwind,2,quasineutrality_denominator,256,1,1,1.1467662312631455,1.1469042894953794,2.0001203407158026,0.0004564133779792549,-1.0,0.0,provided,0.00044022298839741685,-0.9998795284375348,0.0
replay_open_16x4,gkw_upwind,3,parallel_streaming,256,16,4,3.4891449277902815e-11,3.5506029174923785e-11,0.18755219464382888,0.18755219464382888,1.0,0.0,provided,0.1801266533164821,0.9658563156505433,-0.038350043007339414
replay_open_16x4,gkw_upwind,3,mirror_force,256,16,4,1.3526334581324271e-11,1.4772744916893854e-11,2.0560096381534883,2.0560096381534883,1.0,0.0,provided,0.36350575270995655,-0.8527902349728154,0.018524407753493666
replay_open_16x4,gkw_upwind,3,magnetic_drift,256,16,4,1.9166594693667195e-11,3.9801824505358635e-11,1.1055479945716862,1.1055479945716862,1.0,0.0,provided,0.17280798845347406,0.47423268936692325,-0.008337929298735733
replay_open_16x4,gkw_upwind,3,equilibrium_drive,256,16,4,2.92367964834747e-11,1.3171027651252114e-12,1.0154294053652149,1.0154294053652149,1.0,0.0,provided,0.9465297514316467,-7.161380471617292,9.97955007432798e-17
replay_open_16x4,gkw_upwind,3,total_rhs,256,16,4,3.572044443613334e-11,4.088374638979333e-11,1.3232518828543154,1.3232518828543154,1.0,0.0,provided,0.9640727787455907,0.21335808166278833,0.09134649402135707
replay_open_16x4,gkw_upwind,3,quasineutrality_numerator,256,1,1,7.26219953040283e-11,6.143908817753842e-10,7.575546719491691,7.575546719491691,1.0,0.0,provided,0.3585213719945557,0.10607774240347974,0.030385132281992508
replay_open_16x4,gkw_upwind,3,quasineutrality_denominator,256,1,1,1.1467662312631455,1.1469042894953794,2.0001203407158026,0.0004564133779792549,-1.0,0.0,provided,0.00044022298839741685,-0.9998795284375348,0.0
replay_stella_coefficients_16x4,gkw_upwind,1,parallel_streaming,256,16,4,3.4787749198462475e-11,3.568170976000736e-11,0.17184267106055376,0.17184267106055376,1.0,0.0,provided,0.1581870427704712,0.9612257123714645,-0.052728777285096715
replay_stella_coefficients_16x4,gkw_upwind,1,mirror_force,256,16,4,1.3487608761760897e-11,1.4730806920014043e-11,0.39806884131856735,0.39806884131856735,1.0,0.0,provided,0.36357256604305965,0.8527461084638074,-0.018506549342991792
replay_stella_coefficients_16x4,gkw_upwind,1,magnetic_drift,256,16,4,1.9112113531786652e-11,1.9980845193452754e-11,0.17289040448470674,0.17289040448470674,1.0,0.0,provided,0.16249626008175552,0.9437927672530197,-0.005500829771339625
replay_stella_coefficients_16x4,gkw_upwind,1,equilibrium_drive,256,16,4,2.913118740043332e-11,2.91203823220888e-11,0.06840627403693887,0.06840627403693887,1.0,0.0,provided,0.06837791319852224,0.9980296717038033,7.556006417597794e-19
replay_stella_coefficients_16x4,gkw_upwind,1,total_rhs,256,16,4,3.559265217288097e-11,3.6571126391102904e-11,0.2546646537092972,0.2546646537092972,1.0,0.0,provided,0.2440682488872472,0.9428874891723776,-0.04176035955458704
replay_stella_coefficients_16x4,gkw_upwind,1,quasineutrality_numerator,256,1,1,7.235140732296765e-11,6.118489457592516e-10,7.5732194366797705,7.5732194366797705,1.0,0.0,provided,0.36040567900887643,0.10599874147934282,0.030514397288901162
replay_stella_coefficients_16x4,gkw_upwind,1,quasineutrality_denominator,256,1,1,1.1467662312631455,1.1469042894953794,2.0001203407158026,0.0004564133779792549,-1.0,0.0,provided,0.00044022298839741685,-0.9998795284375348,0.0
replay_stella_coefficients_16x4,gkw_upwind,2,parallel_streaming,256,16,4,3.48395585698175e-11,3.573528856586486e-11,0.1718640523016263,0.1718640523016263,1.0,0.0,provided,0.158201312940855,0.961210912063877,-0.0527424367912371
replay_stella_coefficients_16x4,gkw_upwind,2,mirror_force,256,16,4,1.3506953956221639e-11,1.4751759202636133e-11,0.3980285483964457,0.3980285483964457,1.0,0.0,provided,0.36353932670806227,0.8527679726735791,-0.018515580171480146
replay_stella_coefficients_16x4,gkw_upwind,2,magnetic_drift,256,16,4,1.9139336715721453e-11,2.0009036878989858e-11,0.17283935956515167,0.17283935956515167,1.0,0.0,provided,0.16244921983567773,0.9438127696638414,-0.005516491282694913
replay_stella_coefficients_16x4,gkw_upwind,2,equilibrium_drive,256,16,4,2.9183815610320734e-11,2.917295092466959e-11,0.0684067077513081,0.0684067077513081,1.0,0.0,provided,0.06837838571253509,0.9980310107116052,-6.320043282226511e-19
replay_stella_coefficients_16x4,gkw_upwind,2,total_rhs,256,16,4,3.565639703138304e-11,3.663496394488844e-11,0.254579749541367,0.254579749541367,1.0,0.0,provided,0.2439974965296172,0.9429480981822007,-0.041749901385498514
replay_stella_coefficients_16x4,gkw_upwind,2,quasineutrality_numerator,256,1,1,7.248632756026587e-11,6.131169609590315e-10,7.574390008783717,7.574390008783717,1.0,0.0,provided,0.3594713897182866,0.10603808882601529,0.030449046914556317
replay_stella_coefficients_16x4,gkw_upwind,2,quasineutrality_denominator,256,1,1,1.1467662312631455,1.1469042894953794,2.0001203407158026,0.0004564133779792549,-1.0,0.0,provided,0.00044022298839741685,-0.9998795284375348,0.0
replay_stella_coefficients_16x4,gkw_upwind,3,parallel_streaming,256,16,4,3.4891449277902815e-11,3.5788953362608454e-11,0.17188553209701565,0.17188553209701565,1.0,0.0,provided,0.15821570462507736,0.961196063357119,-0.05275601232802897
replay_stella_coefficients_16x4,gkw_upwind,3,mirror_force,256,16,4,1.3526334581324271e-11,1.4772744916893854e-11,0.39798774245108487,0.39798774245108487,1.0,0.0,provided,0.36350575270995655,0.8527902349728154,-0.018524407753493666
replay_stella_coefficients_16x4,gkw_upwind,3,magnetic_drift,256,16,4,1.9166594693667195e-11,2.003726555708242e-11,0.17278825679365423,0.17278825679365423,1.0,0.0,provided,0.16240209474271172,0.9438327184853442,-0.005532132798567499
replay_stella_coefficients_16x4,gkw_upwind,3,equilibrium_drive,256,16,4,2.92367964834747e-11,2.92258734048781e-11,0.0684070908786722,0.0684070908786722,1.0,0.0,provided,0.06837880622763148,0.9980323023817663,-4.810022501864097e-18
replay_stella_coefficients_16x4,gkw_upwind,3,total_rhs,256,16,4,3.572044443613334e-11,3.669910060646971e-11,0.2544937715598389,0.2544937715598389,1.0,0.0,provided,0.2439257040979688,0.943009108292411,-0.0417395075846534
replay_stella_coefficients_16x4,gkw_upwind,3,quasineutrality_numerator,256,1,1,7.26219953040283e-11,6.143908817753842e-10,7.575546719491691,7.575546719491691,1.0,0.0,provided,0.3585213719945557,0.10607774240347974,0.030385132281992508
replay_stella_coefficients_16x4,gkw_upwind,3,quasineutrality_denominator,256,1,1,1.1467662312631455,1.1469042894953794,2.0001203407158026,0.0004564133779792549,-1.0,0.0,provided,0.00044022298839741685,-0.9998795284375348,0.0
