z_index,solver_z,stella_z,z_error,solver_B,stella_bmag,B_error,solver_F,stella_b_dot_gradz_over_2pi,F_error,solver_kperp2,stella_kperp2,kperp2_error,solver_D_y,stella_B_times_gradB_dot_grady,stella_B_times_kappa_dot_grady,stella_B_times_drift_y_sum,phi_abs
0,-0.5,-0.5,0.0,0.9486,0.9485542933453429,-4.570665465708501e-05,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,1.0682999999999998,1.0685771905022403,0.0002771905022405097,0.39449999999999996,0.16769026331495332,0.2267817839134128,0.39447204722836615,3.911224154609366e-11
1,-0.49609375,-0.49609375,0.0,0.9912,0.9912328997544246,3.289975442466453e-05,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,1.3491,1.3492334116478633,0.00013341164786329074,0.12226000000000001,0.034074460149631114,0.08818731975706406,0.12226177990669518,4.1732699302364824e-11
2,-0.4921875,-0.49218750000000006,-5.551115123125783e-17,1.059,1.058548244855842,-0.00045175514415785045,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,1.8603,1.8600528469557454,-0.00024715304425471096,-0.16752,-0.10747568378578098,-0.060022564319193866,-0.16749824810497485,5.224268198918472e-11
3,-0.48828125,-0.48828125,0.0,1.119,1.1185523302197546,-0.0004476697802453522,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,2.2176,2.2177671593385884,0.00016715933858835186,-0.36629999999999996,-0.2043968929260009,-0.16190449869625867,-0.3663013916222596,6.814000809973666e-11
4,-0.484375,-0.484375,0.0,1.105,1.1050006903640957,6.903640956679169e-07,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,1.89,1.8902648768001102,0.0002648768001103363,-0.6167,-0.3301373398463021,-0.2865822304780849,-0.6167195703243871,8.327752715106932e-11
5,-0.48046875,-0.48046875,0.0,1.045,1.0449450480957938,-5.495190420612417e-05,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,1.287,1.2868635886702982,-0.00013641132970176884,-0.23506,-0.14186571410818813,-0.09316399057687226,-0.2350297046850604,9.582102673127748e-11
6,-0.4765625,-0.4765625,0.0,0.9871,0.9871013081896343,1.3081896342859167e-06,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.6208199999999999,0.6207948401396459,-2.515986035400708e-05,0.009990000000000002,-0.022285650748790995,0.032283531684387516,0.009997880935596521,9.954297105810713e-11
7,-0.47265625,-0.47265625000000006,-5.551115123125783e-17,0.9836,0.9835613875549833,-3.8612445016683594e-05,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.23463,0.23465524537901936,2.5245379019350755e-05,0.004210000000000002,-0.025379259272459948,0.029585931942164315,0.0042066726697043665,1.078052831209623e-10
8,-0.46875,-0.46875,0.0,1.015,1.0154269237011158,0.00042692370111585554,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.17387999999999998,0.17385389306990245,-2.610693009752474e-05,0.09340999999999999,0.020922427104832258,0.07249451717036848,0.09341694427520074,1.2716444523150614e-10
9,-0.46484375,-0.46484375,0.0,1.085,1.0851294287559083,0.00012942875590837843,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.35063999999999995,0.3506124797992325,-2.752020076746131e-05,0.38970000000000005,0.17228449911381305,0.2174440266728786,0.38972852578669165,1.3617234276905088e-10
10,-0.4609375,-0.4609375,0.0,1.115,1.1149384204387252,-6.157956127483821e-05,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.5840099999999999,0.5840387645365062,2.8764536506242777e-05,0.40900000000000003,0.18312715044485592,0.22589592531309705,0.40902307575795294,1.275982522773e-10
11,-0.45703125,-0.45703125,0.0,1.082,1.0823608237519962,0.00036082375199608663,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.6894,0.6894029576128334,2.957612833420775e-06,0.30110000000000003,0.12785217139338936,0.1732405541655297,0.3010927255589191,1.1667986676494612e-10
12,-0.453125,-0.45312500000000006,-5.551115123125783e-17,1.015,1.0152336844283942,0.0002336844283943318,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.63261,0.6326471342810963,3.713428109630712e-05,0.11882999999999999,0.03361964690123151,0.08520830760225805,0.11882795450348956,1.0949382045192953e-10
13,-0.44921875,-0.44921875000000006,-5.551115123125783e-17,0.957,0.9569855909565287,-1.440904347127514e-05,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.5518799999999999,0.5518797393702867,-2.6062971325568896e-07,-0.13224,-0.0951460730475417,-0.03708792937464801,-0.13223400242218972,1.0584831043359927e-10
14,-0.4453125,-0.4453125,0.0,0.9754,0.9754054204334739,5.420433473846131e-06,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.65565,0.6556064585241183,-4.3541475881703207e-05,-0.4235,-0.23966037913764474,-0.18376930996174656,-0.42342968909939127,1.0400496339318837e-10
15,-0.44140625,-0.44140625,0.0,1.034,1.0335680663960114,-0.00043193360398863234,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.81135,0.8113190597321369,-3.094026786309989e-05,-0.11308,-0.08143437784309802,-0.0316540888525994,-0.11308846669569741,1.0315138545337498e-10
16,-0.4375,-0.4375,0.0,1.128,1.1282365667547511,0.0002365667547512551,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.9225,0.9222479298257085,-0.0002520701742915188,0.09441999999999999,0.02631804268898016,0.06809922890942313,0.0944172715984033,1.0708213142126397e-10
17,-0.43359375,-0.43359375,0.0,1.22,1.2196566669175302,-0.00034333308246981,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.8418599999999999,0.8418831353466693,2.313534666931183e-05,0.005260000000000001,-0.015244120956582048,0.020495171532697656,0.0052510505761156085,1.094400003747801e-10
18,-0.4296875,-0.42968750000000006,-5.551115123125783e-17,1.194,1.1944543600313753,0.00045436003137533376,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.5406299999999999,0.5405985817751091,-3.141822489083346e-05,0.13095,0.04683765281391351,0.08411158154092252,0.13094923435483602,1.049068023840446e-10
19,-0.42578125,-0.42578125,0.0,1.098,1.0982724443338625,0.0002724443338624205,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.31176,0.3117680950972403,8.095097240312654e-06,0.18328,0.06957840701353872,0.1136558948606258,0.1832343018741645,9.50191814033232e-11
20,-0.421875,-0.421875,0.0,0.9914,0.9914198722616235,1.9872261623588017e-05,0.0019607888988921506,0.001960114464431741,-6.74434460409476e-07,0.23750999999999997,0.23750451033857092,-5.489661429047832e-06,0.14191,0.043908510875534705,0.09800209813277361,0.14191060900830832,7.703638176408139e-11
